Ref-No.	Citation
263	Hungerer, K. B. and J. W. Kadereit (1998). The phylogeny and biogeography of Gentiana L. sect. Ciminalis (Adans.) Dumort.: A historical interpretation of distribution ranges in the European high mountains. Perspectives in Plant Ecology, Evolution and Systematics 1: 121-135.
264	Hurka, H., N. Friesen, D. A. German, A. Franzke, B. Neuffer (2012). ‘Missing link’ species Capsella orientalis and Capsella thracica elucidate evolution of model plant genus Capsella (Brassicaceae). Molecular Ecology 21(5): 1223-1238.
265	Huson, D., D. Richter, C. Rausch, T. Dezulian, M. Franz, R. Rupp (2007). Dendroscope: An interactive viewer for large phylogenetic trees. BMC Bioinformatics 8(1): 460.
266	Iida, S., K. Kosuge, Y. Kadono (2004). Molecular phylogeny of Japanese Potamogeton species in light of noncoding chloroplast sequences. Aquatic Botany 80(2): 115-127.
267	Iida, S., A. Miyagi, S. Aoki, M. Ito, Y. Kadono, K. Kosuge (2009). Molecular adaptation of rbcL in the heterophyllous aquatic plant Potamogeton. PLoS ONE 4(2).
268	Ikinci, N. (2011). Molecular phylogeny and divergence times estimates of Lilium section Liriotypus (Liliaceae) based on plastid and nuclear ribosomal ITS DNA sequence data. Turkish Journal of Botany 35: 319-330.
269	Inda, L. A., J. G. Segarra-Moragues, J. Muller, P. M. Peterson, P. Catalan (2008). Dated historical biogeography of the temperate Loliinae (Poaceae, Pooideae) grasses in the northern and southern hemispheres. Molecular Phylogenetics and Evolution 46(3): 932-957.
270	Ingram, A. L. and J. J. Doyle (2004). Is Eragrostis (Poaceae) monophyletic? Insights from nuclear and plastid sequence data. Systematic Botany 29(3): 545-552.
271	Ismail, M. (2010). Molecular genetic diversity among natural populations of Populus. Vancouver, University of British Columbia. PhD.
272	Jaaska, V. (2005). Isozyme variation and phylogenetic relationships in Vicia subgenus Cracca (Fabaceae). Annals of Botany 96(6): 1085-1096.
273	Jabbour, F. and S. S. Renner (2011). Consolida and Aconitella are an annual clade of Delphinium (Ranunculaceae) that diversified in the Mediterranean basin and the Irano-Turanian region. Taxon 60(4): 1029-1040.
274	Jabbour, F. and S. S. Renner (2012). A phylogeny of Delphinieae (Ranunculaceae) shows that Aconitum is nested within Delphinium and that Late Miocene transitions to long life cycles in the Himalayas and Southwest China coincide with bursts in diversification. Molecular Phylogenetics and Evolution 62(3): 928-942.
275	Jacobs, B., M. J. Donoghue, F. Bouman, S. Huysmans, E. Smets (2008). Evolution and phylogenetic importance of endocarp and seed characters in Viburnum (Adoxaceae). International Journal of Plant Sciences 169(3): 409-431.
276	Jacobs, B., S. Huysmans, E. Smets (2010). Evolution and systematic value of fruit and seed characters in Adoxaceae (Dipsacales). Taxon 59(3): 850-866.
277	Jacobson, A. and M. Hedren (2007). Phylogenetic relationships in Alisma (Alismataceae) based on RAPDs, and sequence data from ITS and trnL. Plant Systematics and Evolution 265(1-2): 27-44.
278	Jakobsson, M., J. Hagenblad, S. Tavaré, T. Säll, C. Halldén, C. Lind-Halldén, M. Nordborg (2006). A unique recent origin of the allotetraploid species Arabidopsis suecica: Evidence from nuclear DNA markers. Molecular Biology and Evolution 23(6): 1217-1231.
279	Janssen, T. and K. Bremer (2004). The age of major monocot groups inferred from 800+rbcL sequences. Botanical Journal of the Linnean Society 146(4): 385-398.
280	Janssens, S., K. Geuten, Y. M. Yuan, Y. Song, P. Küpfer, E. Smets (2006). Phylogenetics of Impatiens and Hydrocera (Balsaminaceae) using chloroplast atpB-rbcL Spacer sequences. Systematic Botany 31(1): 171-180.
281	Janssens, S. B., E. B. Knox, S. Huysmans, E. F. Smets, V. S. F. T. Merckx (2009). Rapid radiation of Impatiens (Balsaminaceae) during Pliocene and Pleistocene: Result of a global climate change. Molecular Phylogenetics and Evolution 52(3): 806-824.
282	Ji, Y. H., P. W. Fritsch, H. Li, T. J. Xiao, Z. K. Zhou (2006). Phylogeny and classification of Paris (Melanthiaceae) inferred from DNA sequence data. Annals of Botany 98(1): 245-256.
283	Jian, S. G., P. S. Soltis, M. A. Gitzendanner, M. J. Moore, R. Li, T. A. Hendry, Y. L. Qiu, A. Dhingra, C. D. Bell, D. E. Soltis (2008). Resolving an ancient, rapid radiation in Saxifragales. Systematic Biology 57(1): 38-57.
284	Jobson, R. W., J. Playford, K. M. Cameron, V. A. Albert (2003). Molecular phylogenetics of Lentibulariaceae inferred from plastid rps16 intron and trnL-F DNA sequences: Implications for character evolution and biogeography. Systematic Botany 28(1): 157-171.
285	Johansson, J. T. (1995). A revised chloroplast DNA phylogeny of the Ranunculaceae. Plant Systematics and Evolution Suppl. 9: 253-261.
286	Johansson, J. T. (1998). Chloroplast DNA restriction site mapping and the phylogeny of Ranunculus (Ranunculaceae). Plant Systematics and Evolution 213: 1-19.
287	Johansson, J. T. (1999). Three large inversions in the chloroplast genomes and one loss of the chloroplast gene  rps 16 suggest an early evolutionary split in the genus Adonis (Ranunculaceae). Plant Systematics and Evolution 218: 133-143.
288	Jordan-Thadon, I. (2009). Species and genetic diversity of Draba: Phylogeny and phylogeography. Combined Faculties for Natural Sciences and for Mathematics, Ruperto-Carola University of Heidelberg. PhD.
289	Jordon-Thaden, I., I. Hase, I. Al-Shehbaz, M. A. Koch (2010). Molecular phylogeny and systematics of the genus Draba (Brassicaceae) and identification of its most closely related genera. Molecular Phylogenetics and Evolution 55(2): 524-540.
290	Jovanovic, V. and D. Cvetkovic (2010). Implications of rbcL phylogeny for historical biogeography of genus Mercurialis L.: Estimating age and center of origin. Archives of Biological Sciences, Belgrade 62(3): 603-609.
291	Kadereit, G., P. Ball, S. Beer, L. Mucina, D. Sokoloff, P. Teege, A. E. Yaprak, H. Freitag (2007). A taxonomic nightmare comes true: phylogeny and biogeography of glassworts (Salicornia L., Chenopodiaceae). Taxon 56(4): 1143-1170.
292	Kadereit, G., T. Borsch, K. Weising, H. Freitag (2003). Phylogeny of Amaranthaceae and Chenopodiaceae and the evolution of C-4 photosynthesis. International Journal of Plant Sciences 164(6): 959-986.
293	Kadereit, G. and H. Freitag (2011). Molecular phylogeny of Camphorosmeae (Camphorosmoideae, Chenopodiaceae): Implications for biogeography, evolution of C4-photosynthesis and taxonomy. Taxon 60(1): 51-78.
294	Kadereit, G., E. V. Mavrodiev, E. H. Zacharias, A. P. Sukhorukov (2010). Molecular phylogeny of Atripliceae (Chenopodioideae, Chenopodiaceae): Implications for systematics, biogeography, flower and fruit evolution, and the origin of C4 photosynthesis. Am. J. Bot. 97(10): 1664-1687.
295	Kadereit, G., L. Mucina, H. Freitag (2006). Phylogeny of Salicornioideae (Chenopodiaceae): diversification, biogeography, and evolutionary trends in leaf and flower morphology. Taxon 55(3): 617-642.
296	Kadereit, J. W., M. Repplinger, N. Schmalz, C. H. Uhink, A. Worz (2008). The phylogeny and biogeography of Apiaceae subf. Saniculoideae tribe Saniculeae: from south to north and south again. Taxon 57(2): 365-382.
297	Källersjö, M., G. Bergqvist, A. A. Anderberg (2000). Generic realignment in primuloid families of the Ericales s.l.: a phylogenetic analysis based on DNA sequences from three chloroplast genes and morphology. American Journal of Botany 87: 1325-1341.
298	Käss, E. and M. Wink (1997). Molecular phylogeny and phylogeography of  Lupinus  (Leguminosae) inferred from nucleotide sequences of the  rbc L gene and  ITS  1 + 2 regions of rDNA. Plant Systematics and Evolution 208: 139-167.
299	Käss, E. and M. Wink (1997). Phylogenetic relationships in the Papilionoideae (family Leguminosae) based on nucleotide sequences of cpDNA ( rbc L) and ncDNA (ITS 1 and 2). Molecular Phylogenetics and Evolution 8: 65-88.
300	Kato, Y., K. Aioi, Y. Omori, N. Takahata, Y. Satta (2003). Phylogenetic analyses of Zostera species based on rbcL and matK nucleotide sequences: Implications for the origin and diversification of seagrasses in Japanese waters. Genes & Genetic Systems 78(5): 329-342.
301	Kaufmann, M. and M. Wink (1994). Molecular systematics of the Nepetoideae (family Labiatae): phylogenetic implications from rbcL gene sequences. Zeitschrift für Naturforschung 49c: 635-645.
302	Kazempour Osaloo, S., A. Maassoumi, N. Murakami (2005). Molecular systematics of the Old World Astragalus (Fabaceae) as inferred from nrDNA ITS sequence data. Brittonia 57(4): 367-381.
303	Kellogg, E. A., S. S. Aliscioni, O. Morrone, J. Pensiero, F. Zuloaga (2009). A phylogeny of Setaria (Poaceae, Panicoideae, Paniceae) and related genera based on the chloroplast gene ndhF. International Journal of Plant Sciences 170(1): 117-131.
304	Kenicer, G. J., T. Kajita, R. T. Pennington, J. Murata (2005). Systematics and biogeography of Lathyrus (Leguminosae) based on internal transcribed spacer and cpDNA sequence data. American Journal of Botany 92(7): 1199-1209.
305	Kerr, M. S. (2004). A phylogenetic and biogeographic analysis of Sanguisorbeae (Rosaceae), with emphasis on the pleistocene radiation of the high Andean genus Polylepis. College Park, University of Maryland. Ph.D.
306	Kim, C. and H. K. Choi (2011). Molecular systematics and character evolution of Typha (Typhaceae) inferred from nuclear and plastid DNA sequence data. Taxon 60(5): 1417-1428.
307	Kim, J. H., D. K. Kim, F. Forest, M. F. Fay, M. W. Chase (2010). Molecular phylogenetics of Ruscaceae sensu lato and related families (Asparagales) based on plastid and nuclear DNA sequences. Annals of Botany 106(5): 775-790.
308	Kim, K. J., K. S. Choi, R. K. Jansen (2005). Two chloroplast DNA inversions originated simultaneously during the early evolution of the sunflower family (Asteraceae). Molecular Biology and Evolution 22(9): 1783-1792.
309	Kim, S.-C., M. R. McGowen, P. Lubinsky, J. C. Barber, M. E. Mort, A. Santos-Guerra (2008). Timing and tempo of early and successive adaptive radiations in Macaronesia. Plos One 3(5): e2139.
310	Kim, S. C., D. J. Crawford, R. K. Jansen (1996). Phylogenetic relationships among the genera of the subtribe Sonchinae (Asteraceae): Evidence from ITS sequences. Systematic Botany 21(3): 417-432.
311	Kim, S. C., D. J. Crawford, R. K. Jansen, A. Santos-Guerra (1999). The use of a non-coding region of chloroplast DNA in phylogenetic studies of the subtribe Sonchinae (Asteraceae: Lactuceae). Plant Systematics and Evolution 215: 85-99.
312	Kim, S. C., D. J. Crawford, M. Tadesse, M. Berbee, F. R. Ganders, M. Pirseyedi, E. J. Esselman (1999). ITS sequences and phylogenetic relationships in  Bidens  and  Coreopsis  (Asteraceae). Systematic Botany 24: 480-493.
313	Kim, S. T. and M. J. Donoghue (2008). Incongruence between cpDNA and nrITS trees indicates extensive hybridization within Eupersicaria (Polygonaceae). American Journal of Botany 95(9): 1122-1135.
314	Kim, S. T. and M. J. Donoghue (2008). Molecular phylogeny of Persicaria (Persicarieae, Polygonaceae). Systematic Botany 33(1): 77-86.
315	Kim, S. T., S. E. Sultan, M. J. Donoghue (2008). Allopolyploid speciation in Persicaria (Polygonaceae): Insights from a low-copy nuclear region. Proceedings of the National Academy of Sciences of the United States of America 105(34): 12370-12375.
316	Kim, Y. D. and R. K. Jansen (1998). Chloroplast DNA restriction site variation and phylogeny of the Berberidaceae. American Journal of Botany 85: 1766-1778.
317	Kirchner, D. E. (2004). Molekulare Phylogenie und Biogeographie der Gattung Pulmonaria L. (Boraginaceae). Aachen, Verlag Mainz.
318	Klak, C., A. Khunou, G. Reeves, T. Hedderson (2003). A phylogenetic hypothesis for the Aizoaceae (Caryophyllales) based on four plastid DNA regions. American Journal of Botany 90(10): 1433-1445.
319	Koch, M. and I. A. Al-Shehbaz (2004). Taxonomic and phylogenetic evaluation of the American Thlaspi species: Identity and relationship to the Eurasian genus Noccaea (Brassicaceae). Systematic Botany 29(2): 375-384.
320	Koch, M., J. Bishop, T. Mitchell-Olds (1999). Molecular systematics and evolution of Arabidopsis and Arabis. Plant Biology 1: 529-537.
321	Koch, M., B. Haubold, T. Mitchell-Olds (2001). Molecular systematics of the Brassicaceae: evidence from coding plastidic  mat K and nuclear Chs sequences. American Journal of Botany 88(3): 534-544.
322	Koch, M., M. Huthmann, H. Hurka (1998). Isozymes, speciation and evolution in the polyploid complex Cochlearia L. (Brassicaceae). Botanica Acta 111: 411-425.
323	Koch, M. and K. Mummenhoff (2001). Thlaspi s.str. (Brassicaceae) versus Thlaspi s.l.: morphological and anatomical characters in the light of ITS nrDNA sequence data. Plant Systematics and Evolution 227: 209-225.
324	Koch, M., K. Mummenhoff, H. Hurka (1999). Molecular phylogenetics of Cochlearia (Brassicaceae) and allied genera based on nuclear ribosomal ITS DNA sequence analysis contradict traditional concepts of their evolutionary relationship. Plant Systematics and Evolution 216(3-4): 207-230.
325	Koch, M. A. and I. A. Al Shehbaz (2008). Molecluar Systematics and Evolution of wild crucifers (Brassicaceae or Cruciferae) Molecluar Systematics and Evolution of wild crucifers (Brassicaceae or Cruciferae) Taylor & Francis.
326	Koch, M. A., B. Haubold, T. Mitchell-Olds (2000). Comparative evolutionary analysis of chalcone synthase and alcohol dehydrogenase loci in  Arabidopsis ,  Arabis , and related genera (Brassicaceae). Molecular Biology and Evolution 17: 1483-1498.
327	Koch, M. A., R. Karl, C. Kiefer, I. A. Al-Shehbaz (2010). Colonizing the American continent: Systematics of the genus Arabis in North America (Brassicaceae). American Journal of Botany 97(6): 1040-1057.
328	Kokubugata, G., K. Nakamura, W. Shinohara, Y. Saito, C. I. Peng, M. Yokota (2010). Evidence of three parallel evolutions of leaf dwarfism and phytogeography in Lysimachia sect. Nummularia in Japan and Taiwan. Molecular Phylogenetics and Evolution 54(2): 657-663.
329	Koopman, M. M. and D. A. Baum (2008). Phylogeny and Biogeography of Tribe Hibisceae (Malvaceae) on Madagascar. Systematic Botany 33(2): 364-374.
330	Koopman, W. J. M., E. Guetta, C. C. M. van de Wiel, B. Vosman, R. G. van den Berg (1998). Phylogenetic relationships among Lactuca (Asteraceae) species and related genera based on ITS-1 DNA sequences. American Journal of Botany 85(11): 1517-1530.
331	Koopman, W. J. M., V. Wissemann, K. De Cock, J. Van Huylenbroeck, J. De Riek, G. J. H. Sabatino, D. Visser, B. Vosman, C. M. Ritz, B. Maes, G. Werlemark, H. Nybom, T. Debener, M. Linde, M. J. M. Smulders (2008). AFLP markers as a tool to reconstruct complex relationships: A case study in Rosa (Rosaceae). American Journal of Botany 95(3): 353-366.
332	Koopman, W. J. M., M. J. Zevenbergen, R. G. van den Berg (2001). Species relationships in Lactuca s.l. (Lactuceae, Asteraceae) inferred from AFLP fingerprints. American Journal of Botany 88: 1881-1887.
333	Kron, K. A. and W. S. Judd (1990). Phylogenetic relationships within the Rhodoreae (Ericaceae) with specific comments on the placement of Ledum. Systematic Botany 15(1): 57-68.
334	Kron, K. A., W. S. Judd, P. F. Stevens, D. M. Crayn, A. A. Anderberg, P. A. Gadek, C. J. Quinn, J. L. Luteyn (2002). Phylogenetic classification of Ericaceae: Molecular and morphological evidence. Botanical Review 68(3): 335-423.
335	Kron, K. A., E. A. Powell, J. L. Luteyn (2002). Phylogenetic relationships within the blueberry tribe (Vaccinieae, Ericaceae) based on sequence data from matK and nuclear ribosomal ITS regions, with comments on the placement of Satyria. American Journal of Botany 89(2): 327-336.
336	Langstrom, E. and M. W. Chase (2002). Tribes of Boraginoideae (Boraginaceae) and placement of  Antiphytum, Echiochilon, Ogastemma and Sericostoma: A phylogenetic analysis based on atpB plastid DNA sequence data. Plant Systematics and Evolution 234(1-4): 137-153.
337	Lavin, M., P. S. Herendeen, M. F. Wojciechowski (2005). Evolutionary rates analysis of Leguminosae implicates a rapid diversification of lineages during the Tertiary. Systematic Biology 54: 575-594.
338	Lee, B. Y., G. A. Levin, S. R. Downie (2001). Relationships within the spiny-fruited umbellifers (Scandiceae subtribes Daucinae and Torilidinae) as assessed by phylogenetic analysis of morphological characters. Systematic Botany 26(3): 622-642.
339	Lee, C. S. and S. R. Downie (2006). Phylogenetic relationships within Cicuta (Apiaceae tribe Oenantheae) inferred from nuclear rDNA ITS and cpDNA sequence data. Canadian Journal of Botany-Revue Canadienne de Botanique 84(3): 453-468.
340	Lee, H.-L., R. K. Jansen, T. W. Chumley, K.-J. Kim (2007). Gene relocations within chloroplast genomes of Jasminum and Menodora (Oleaceae) are due to multiple, overlapping inversions. Molecular Biology and Evolution 24(5): 1161-1180.
341	Lee, S., K. I. Heo, J. Cho, C. Lee, W. L. Chen, S. C. Kim (2011). New insights into pollen morphology and its implications in the phylogeny of Sanguisorba L. (Rosaceae; Sanguisorbeae). Plant Systematics and Evolution 291(3-4): 227-242.
342	Lee, S. and J. Wen (2001). A phylogenetic analysis of  Prunus  and the Amygdaloideae (Rosaceae) using ITS sequences of nuclear ribosomal DNA. American Journal of Botany 88: 150-160.
343	Leebens-Mack, J., L. A. Raubeson, L. Y. Cui, J. V. Kuehl, M. H. Fourcade, T. W. Chumley, J. L. Boore, R. K. Jansen, C. W. dePamphilis (2005). Identifying the basal angiosperm node in chloroplast genome phylogenies: Sampling one's way out of the felsenstein zone. Molecular Biology and Evolution 22(10): 1948-1963.
344	Lehtonen, S. (2009). Systematics of the Alismataceae-A morphological evaluation. Aquatic Botany 91(4): 279-290.
345	Les, D., D. Crawford, R. Kimball, M. Moody, E. Landolt (2003). Biogeography of discontinuously distributed hydrophytes: A molecular appraisal of intercontinental disjunctions. International Journal of Plant Sciences 164(6): 917-932.
346	Leskinen, E. and C. Alström-Rapaport (1999). Molecular phylogeny of Salicaceae and closely related Flacourtiaceae: evidence from 5.8 S, ITS 1 and ITS 2 of the rDNA. Plant Systematics and Evolution 215: 209-227.
347	Li, J., B. Goldman-Huertas, J. DeYoung, J. Alexander (2012). Phylogenetics and diversification of Syringa inferred from nuclear and plastid DNA sequences. Castanea 77(1): 82-88.
348	Li, J. H., J. Alexander, T. Ward, P. Del Tredici, R. Nicholson (2002). Phylogenetic relationships of Empetraceae inferred from sequences of chloroplast gene matK and nuclear ribosomal DNA ITS region. Molecular Phylogenetics and Evolution 25(2): 306-315.
349	Li, M., J. Li, J. Jiang, C. Fu, W. Judd (2009). Phylogenetics and biogeography of Pieris (Lyonieae, Ericaceae) inferred from sequences of nuclear and chloroplast genomes. Systematic Botany 34(3): 553-560.
350	Li, Q. Q., S. D. Zhou, X. J. He, Y. Yu, Y. C. Zhang, X. Q. Wei (2010). Phylogeny and biogeography of Allium (Amaryllidaceae: Allieae) based on nuclear ribosomal internal transcribed spacer and chloroplast rps16 sequences, focusing on the inclusion of species endemic to China. Annals of Botany 106(5): 709-733.
351	Liao, C.-Y., S. R. Downie, Y. Yu, X.-J. He (2012). Historical biogeography of the Angelica group (Apiaceae tribe Selineae) inferred from analyses of nrDNA and cpDNA sequences. Journal of Systematics and Evolution 50(3): 206-217.
352	Liao, W. J., Y. M. Yuan, D. Y. Zhang (2007). Biogeography and evolution of flower color in Veratrum (Melanthiaceae) through inference of a phylogeny based on multiple DNA markers. Plant Systematics and Evolution 267(1-4): 177-190.
353	Liden, M., T. Fukuhara, J. Rylander, B. Oxelman (1997). Phylogeny and classification of Fumariaceae, with emphasis on Dicentra s. l., based on the plastid gene rps16 intron. Plant Systematics and Evolution 206(1-4): 411-420.
354	Lihova, J., K. K. Shimizu, K. Marhold (2006). Allopolyploid origin of Cardamine asarifolia (Brassicaceae): Incongruence between plastid and nuclear ribosomal DNA sequences solved by a single-copy nuclear gene. Molecular Phylogenetics and Evolution 39(3): 759-786.
355	Likar, M., P. Pongrac, K. Vogel-Mikus, M. Regvar (2010). Molecular diversity and metal accumulation of different Thlaspi praecox populations from Slovenia. Plant and Soil 330(1-2): 195-205.
356	Lin, C.-P., J.-P. Huang, C.-S. Wu, C.-Y. Hsu, S.-M. Chaw (2010). Comparative chloroplast genomics reveals the evolution of Pinaceae genera and subfamilies. Genome Biology and Evolution 2: 504-517.
357	Lindqvist, C., J. De Laet, R. R. Haynes, L. Aagesen, B. R. Keener, V. A. Albert (2006). Molecular phylogenetics of an aquatic plant lineage, Potamogetonaceae. Cladistics 22(6): 568-588.
358	Liston, A. and J. A. Wheeler (1994). The phylogenetic position of the genus  Astragalus  (Fabaceae): evidence from the chloroplast genes  rpo C1 and  rpo C2. Biochemical Systematics and Ecology 22: 377-388.
359	Liu, H. M., X. C. Zhang, W. Wang, Y. L. Qiu, Z. D. Chen (2007). Molecular phylogeny of the fern family Dryopteridaceae inferred from chloroplast rbcL and atpB Genes. International Journal of Plant Sciences 168(9): 1311-1323.
360	Liu, Z. W., J. Zhou, E. D. Liu, H. Peng (2010). A molecular phylogeny and a new classification of Pyrola (Pyroleae, Ericaceae). Taxon 59(6): 1690-1700.
361	Lledo, M. D., M. B. Crespo, M. F. Fay, M. W. Chase (2005). Molecular phylogenetics of Limonium and related genera (Plumbaginaceae): biogeographical and systematic implications. American Journal of Botany 92(7): 1189-1198.
362	Lo, E. Y. Y. and M. J. Donoghue (2012). Expanded phylogenetic and dating analyses of the apples and their relatives (Pyreae, Rosaceae). Molecular Phylogenetics and Evolution 63(2): 230-243.
363	Lo Presti, R. M., S. Oppolzer, C. Oberprieler (2010). A molecular phylogeny and a revised classification of the Mediterranean genus Anthemis s.I. (Compositae, Anthemideae) based on three molecular markers and micromorphological characters. Taxon 59(5): 1441-1456.
364	Löhne, C., M.-J. Yoo, T. Borsch, J. Wiersema, V. Wilde, C. D. Bell, W. Barthlott, D. E. Soltis, P. S. Soltis (2008). Biogeography of Nymphaeales: Extant patterns and historical events. Taxon 57(4): 1123-1146.
365	Lopez-Vinyallonga, S., I. Mehregan, N. Garcia-Jacas, O. Tscherneva, A. Susanna, J. W. Kadereit (2009). Phylogeny and evolution of the Arctium-Cousinia complex (Compositae, Cardueae-Carduinae). Taxon 58(1): 153-171.
366	Lopez-Vinyallonga, S., K. Romaschenko, A. Susanna, N. Garcia-Jacas (2011). Systematics of the Arctioid group: Disentangling Arctium and Cousinia (Cardueae, Carduinae). Taxon 60(2): 539-554.
367	Lu, J.-M., D.-Z. Li, S. Lutz, A. Soejima, T. Yi, J. Wen (2011). Biogeographic disjunction between eastern Asia and North America in the Adiantum pedatum complex (Pteridaceae). American Journal of Botany 98(10): 1680-1693.
368	Lundberg, M., M. Töpel, B. Eriksen, J. A. A. Nylander, T. Eriksson (2009). Allopolyploidy in Fragariinae (Rosaceae): Comparing four DNA sequence regions, with comments on classification. Molecular Phylogenetics and Evolution 51(2): 269-280.
369	Lysak, M. A. and M. A. Koch (2011). Phylogeny, genome and karyotype evolution of Crucifers (Brassicaceae). Genetics and Genomics of the Brassicaceae. R. Schmidt and I. Bancroft. New York, Springer.
370	Lysak, M. A., M. A. Koch, A. Pecinka, I. Schubert (2005). Chromosome triplication found across the tribe Brassiceae. Genome Research 15(4): 516-525.
371	Magallón, S. (2009). Flowering plants (Magnoliophyta). The Timetree of Life. S. B. Hedges and S. Kumar. Oxford, Oxford University Press: 161-165.
372	Magallon, S. and A. Castillo (2009). Angiosperm diversification through time. Am. J. Bot. 96(1): 349-365.
373	Magallón, S. and K. W. Hilu (2009). Land plants (Embryophyta). The Timetree of Life. S. B. Hedges and S. Kumar, Oxford University Press: 133-137.
374	Magee, A. R., C. I. Calvino, M. Liu, S. R. Downie, P. M. Tilney, B. E. van Wyk (2010). New tribal delimitations for the early diverging lineages of Apiaceae subfamily Apioideae. Taxon 59(2): 567-580.
375	Magee, A. R., B. E. van Wyk, P. M. Tilney, S. R. Downie (2010). Phylogenetic position of African and Malagasy Pimpinella species and related genera (Apiaceae, Pimpinelleae). Plant Systematics and Evolution 288(3-4): 201-211.
376	Mahelka, V., D. Kopecky, L. Pastova (2011). On the genome constitution and evolution of intermediate wheatgrass (Thinopyrum intermedium: Poaceae, Triticeae). BMC Evolutionary Biology 11.
377	Majure, L., W. Judd, P. Soltis, D. Soltis (2012). Cytogeography of the Humifusa clade of Opuntia s.s. Mill. 1754 (Cactaceae, Opuntioideae, Opuntieae): correlations with pleistocene refugia and morphological traits in a polyploid complex. Comparative Cytogenetics 6(1): 53-77.
378	Manen, J. F., C. Habashi, D. Jeanmonod, J. M. Park, G. M. Schneeweiss (2004). Phylogeny and intraspecific variability of holoparasitic Orobanche (Orobanchaceae) inferred from plastid rbcL sequences. Molecular Phylogenetics and Evolution 33(2): 482-500.
379	Manning, J. C., F. Forest, D. S. Devey, M. F. Fay, P. Goldblatt (2009). A molecular phylogeny and a revised classification of Ornithogaloideae (Hyacinthaceae) based on an analysis of four plastid DNA regions. Taxon 58(1): 77-107.
380	Manns, U. and A. A. Anderberg (2007). Character evolution in Anagallis (Myrsinaceae) inferred from morphological and molecular. Systematic Botany 32(1): 166-179.
381	Manos, P. S. and A. M. Stanford (2001). The historical biogeography of Fagaceae: Tracking the Tertiary history of temperate and subtropical forests of the northern hemisphere. International Journal of Plant Sciences 162(S6): S77-S93.
382	Manos, P. S. and K. P. Steele (1997). Phylogenetic analyses of ''higher'' Hamamelididae based on plastid sequence data. American Journal of Botany 84(10): 1407-1419.
383	Manos, P. S., Z. K. Zhou, C. H. Cannon (2001). Systematics of Fagaceae: phylogenetic tests of reproductive trait evolution. International Journal of Plant Sciences 162(6): 1361-1379.
384	Mansion, G., G. Rosenbaum, N. Schoenenberger, G. Bacchetta, J. A. Rossello, E. Conti (2008). Phylogenetic analysis informed by geological history supports multiple, sequential invasions of the Mediterranean Basin by the angiosperm family Araceae. Systematic Biology 57(2): 269-285.
385	Mansion, G., F. Selvi, A. Guggisberg, E. Conti (2009). Origin of Mediterranean insular endemics in the Boraginales: integrative evidence from molecular dating and ancestral area reconstruction. Journal of Biogeography 36(7): 1282-1296.
386	Mansion, G. and L. Struwe (2004). Generic delimitation and phylogenetic relationships within the subtribe Chironiinae (Chironieae: Gentianaceae), with special reference to Centaurium: evidence from nrDNA and cpDNA sequences. Molecular Phylogenetics and Evolution 32(3): 951-977.
387	Mansion, G., L. Zeltner, F. Bretagnolle (2005). Phylogenetic patterns and polyploid evolution within the Mediterranean genus Centaurium (Gentianaceae-Chironieae). Taxon 54(4): 931-950.
388	Mao, K. S., G. Hao, J. Q. Liu, R. P. Adams, R. I. Milne (2010). Diversification and biogeography of Juniperus (Cupressaceae): variable diversification rates and multiple intercontinental dispersals. New Phytologist 188(1): 254-272.
389	Mao, K. S., R. I. Milne, L. B. Zhang, Y. L. Peng, J. Q. Liu, P. Thomas, R. R. Mill, S. S. Renner (2012). Distribution of living Cupressaceae reflects the breakup of Pangea. Proceedings of the National Academy of Sciences of the United States of America 109(20): 7793-7798.
390	Marcussen, T., K. Blaxland, M. D. Windham, K. E. Haskins, F. Armstrong (2011). Establishing the phylogenetic origin, history, and age of the narrow endemic Viola guadalupensis (Violaceae). American Journal of Botany 98(12): 1978-1988.
391	Marcussen, T. and L. Borgen (2000). Allozymic variation and relationships within Viola subsection Viola (Violaceae). Plant Systematics and Evolution 223: 29-57.
392	Marcussen, T., K. S. Jakobsen, J. Danihelka, H. E. Ballard, K. Blaxland, A. K. Brysting, B. Oxelman (2012). Inferring Species Networks from Gene Trees in High-Polyploid North American and Hawaiian Violets (Viola, Violaceae). Systematic Biology 61(1): 107-126.
393	Martin-Bravo, S., H. Meimberg, M. Luceno, W. Markl, V. Valcarcel, C. Brauchler, P. Vargas, G. Heubl (2007). Molecular systematics and biogeography of Resedaceae based on ITS and trnL-F sequences. Molecular Phylogenetics and Evolution 44(3): 1105-1120.
394	Martin-Bravo, S., V. Valcarcel, P. Vargas, M. Luceno (2010). Geographical speciation related to Pleistocene range shifts in the western Mediterranean mountains (Reseda sect. Glaucoreseda, Resedaceae). Taxon 59(2): 466-482.
395	Martin, J. P. and M. D. Sanchez-Yelamo (2000). Genetic relationships among species of the genus  Diplotaxis  (Brassicaceae) using inter-simple sequence repeat markers. Theoretical and Applied Genetics 101: 1234-1241.
396	Martínez-Azorín, M., M. B. Crespo, A. Juan, M. F. Fay (2011). Molecular phylogenetics of subfamily Ornithogaloideae (Hyacinthaceae) based on nuclear and plastid DNA regions, including a new taxonomic arrangement. Annals of Botany 107(1): 1-37.
397	Martins, T. R. and T. J. Barkman (2005). Reconstruction of Solanaceae phylogeny using the nuclear gene SAMT. Systematic Botany 30(2): 435-447.
